                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                  1.052,                0.71284,                 1.0392,                0.88863,                 0.8561,                 0.8992,                 0.5317,                 1.3744,                0.85006,                 1.2971,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0395,                0.70308,                  1.047,                0.89079,                0.84549,                0.89548,                0.52129,                 1.3907,                0.82517,                 1.2843,              0.0010298,              0.0010298,              0.0010298
                     51,                0.98528,                0.68919,                 1.0528,                0.84904,                0.84549,                0.87765,                0.52109,                 1.4158,                0.82613,                 1.3236,                0.00101,                0.00101,                0.00101
                     52,                 1.0617,                0.71824,                 1.0468,                0.85309,                0.83262,                 0.8679,                0.48677,                 1.5008,                0.92505,                 1.3753,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0164,                 0.6817,                 1.0374,                  0.898,                0.83262,                0.87699,                0.49975,                 1.4097,                0.84853,                 1.3304,              0.0009704,              0.0009704,              0.0009704
                     54,                0.99889,                0.67956,                 1.0615,                0.89392,                0.83181,                0.89189,                0.51328,                 1.4164,                 0.8296,                 1.3285,              0.0009506,              0.0009506,              0.0009506
                     55,                0.96609,                0.63444,                 1.0151,                0.81764,                0.88517,                0.87586,                0.51234,                 1.4151,                0.87201,                 1.3447,              0.0009308,              0.0009308,              0.0009308
                     56,                0.99197,                0.63667,                 1.0312,                0.87193,                0.87983,                0.89525,                0.53263,                 1.3955,                0.81812,                 1.3519,               0.000911,               0.000911,               0.000911
                     57,                 0.9993,                 0.6724,                 1.0201,                0.89487,                0.84979,                0.90022,                0.52708,                 1.4121,                 0.8048,                 1.3458,              0.0008912,              0.0008912,              0.0008912
                     58,                0.96141,                0.66424,                 1.0049,                0.87527,                0.88412,                0.90856,                 0.5275,                 1.4022,                 0.8042,                 1.3329,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0495,                0.67902,                 1.0472,                0.89357,                 0.8648,                 0.9024,                0.52947,                 1.4124,                0.77651,                  1.341,              0.0008516,              0.0008516,              0.0008516
                     60,                0.92215,                0.60779,                 1.0032,                 0.8868,                0.87414,                0.90195,                0.53129,                 1.4077,                0.76887,                 1.3255,              0.0008318,              0.0008318,              0.0008318
